,업종명,평가연도,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,현금흐름(CF),PBR,ESG,E,S,G,배당지급(DV)
남광토건,건설업,2016,175893879000.0,332.68,23.11,-39.28,-0.024968431200605667,3.0200000000000005,B이하,C,B이하,B이하,0.0
남선알미늄,철강금속,2016,283413750000.0,131.23,43.25,14.39,0.10308126088627369,1.15,B이하,B,B이하,B이하,0.0
남성,유통업,2016,204535206000.0,178.71,35.88,10.36,0.09674718498659518,1.0,B이하,C,B이하,B이하,200000.0
남양유업,음식료품,2016,1041501794000.0,17.12,85.39,1.99,0.09942650527357329,0.75,B이하,D,B+,B이하,855000.0
남해화학,화학,2016,530446811000.0,33.28,75.03,0.0,0.051699566889529924,1.1800000000000002,B이하,B,B이하,B+,2158000.0
넥센,서비스업,2016,970602747000.0,18.25,84.56,4.99,0.1161971898219252,0.525,B이하,B,B이하,B+,4090000.0
넥센타이어,화학,2016,2617913245000.0,117.66,45.94,3.11,0.25705375511677175,1.205,B+,B+,B+,B+,10174000.0
노루페인트,화학,2016,570582358000.0,106.39,48.45,3.75,0.10290272865317308,0.8999999999999999,B이하,B,B이하,B이하,4095000.0
노루홀딩스,서비스업,2016,970205089000.0,81.85,54.99,0.97,0.6710251570003695,0.8999999999999999,B이하,D,B이하,B이하,4690000.0
녹십자,의약품,2016,1550614664000.0,46.42,68.3,14.32,-0.0016864402186012387,2.485,B이하,C,B+,B이하,14266000.0
녹십자홀딩스,서비스업,2016,2249277259000.0,63.34,61.22,19.56,-0.0081910815070931,3.2,B이하,B,B+,B이하,13621000.0
농심,음식료품,2016,2481287284000.0,37.67,72.64,1.62,0.11865662309961351,1.43,B이하,D,B이하,B+,23131000.0
농심홀딩스,서비스업,2016,1171929234000.0,39.27,71.8,10.85,0.8943228391828182,1.245,B이하,C,B이하,B이하,9276000.0
다우기술,서비스업,2016,9818253246000.0,510.75,16.37,9.88,-1.665054692740553,2.05,B이하,B,B이하,B이하,10817000.0
대교,서비스업,2016,848138969000.0,27.96,78.15,0.92,0.11285608117445005,1.605,B+,A,B+,B이하,12769000.0
대구백화점,유통업,2016,626013405000.0,66.24,60.15,0.09,0.04071161579052836,0.47000000000000003,B이하,B+,B+,B이하,3091000.0
대림통상,기계,2016,230655433000.0,97.87,50.54,3.98,0.08402709912324507,0.8400000000000001,B이하,C,B이하,B이하,2284000.0
대상,음식료품,2016,2308460528000.0,166.18,37.57,8.35,0.029560160629130763,1.4249999999999998,B이하,C,B+,B이하,14421000.0
대상홀딩스,서비스업,2016,2689293818000.0,156.07,39.05,8.73,4.663101848539058,1.43,B이하,B,B이하,B이하,6321000.0
대성산업,유통업,2016,949116900000.0,1259.84,7.35,-17.33,0.016231846817864992,6.58,B이하,C,B이하,B이하,0.0
대성에너지,전기가스업,2016,622322683000.0,112.91,46.97,-15.63,0.06964748795632594,0.6100000000000001,B이하,C,B이하,B이하,6875000.0
대성홀딩스,서비스업,2016,1128442415000.0,107.33,48.23,-15.7,2.2103743057996486,0.7050000000000001,B이하,B,B이하,B이하,4022000.0
대신증권,증권,2016,17692580620000.0,895.05,10.05,20.15,-0.20545671144011757,0.6000000000000001,B이하,A,B이하,B이하,40261000.0
대양금속,철강금속,2016,100099259000.0,505.75,16.51,20.31,0.05375726847546633,5.6899999999999995,B이하,B,B이하,B+,0.0
대영포장,종이목재,2016,209726030000.0,51.84,65.86,9.38,0.026819875032290188,0.825,B이하,C,B이하,B이하,0.0
대우건설,건설업,2016,9970246457000.0,381.68,20.76,11.78,0.03272655120799488,1.34,B+,B,A,A,0.0
대우조선해양,운수장비,2016,15064829699000.0,2184.71,4.38,-16.99,-0.046639053704508826,1.5299999999999998,B+,C,B+,A,0.0
대웅,서비스업,2016,1467286018000.0,69.7,58.93,1.82,0.3810459144285076,2.19,B이하,C,B이하,B이하,4318000.0
대웅제약,의약품,2016,1144699986000.0,89.35,52.81,5.27,0.019366722081585873,2.2750000000000004,B이하,C,B+,B이하,6193000.0
대원강업,운수장비,2016,1288363972000.0,132.48,43.01,6.23,0.10851879881261826,0.845,B이하,B,B이하,B이하,7750000.0
대원전선,전기전자,2016,223175696000.0,171.13,36.88,-4.8,0.028699826494929904,1.62,B이하,B,B이하,B이하,0.0
대원제약,의약품,2016,214681777000.0,32.51,75.47,11.35,0.0871965283981061,2.3449999999999998,B이하,B+,B+,B이하,4521000.0
대원화성,화학,2016,134921898000.0,89.68,52.72,-14.02,0.07318197347349402,1.7349999999999999,B이하,B,B이하,B+,0.0
대유에이텍,운수장비,2016,838062939000.0,329.11,23.3,0.94,0.0336175200369025,2.035,B이하,C,B이하,B이하,2550000.0
대창,철강금속,2016,565993244000.0,215.76,31.67,-19.57,0.1154142060884005,0.6950000000000001,B이하,C,B이하,B+,0.0
대창단조,운수장비,2016,202433476000.0,24.04,80.62,-7.76,0.014178480295695942,0.65,B이하,B,B이하,B+,2600000.0
대한방직,섬유의복,2016,371647517000.0,107.58,48.17,0.49,-0.03325232863524663,0.4,B이하,B,B이하,B이하,0.0
대한유화,화학,2016,1763643254000.0,36.39,73.32,-7.56,0.20365205343495546,1.1400000000000001,B이하,C,B+,B이하,18528000.0
대한전선,전기전자,2016,1315810316000.0,339.89,22.73,-18.64,-0.004691611706547095,9.08,B이하,B,B이하,B+,0.0
대한제강,철강금속,2016,669562190000.0,52.1,65.75,0.93,0.048527659286824794,0.5599999999999999,B이하,C,B이하,B+,7427000.0
대한제당,음식료품,2016,1210586736000.0,169.12,37.16,-4.97,0.07595326609495695,0.495,B이하,B,B이하,B이하,5893000.0
대한제분,음식료품,2016,867495382000.0,31.06,76.3,-2.22,0.2849879815324373,0.505,B이하,B,B이하,B이하,3285000.0
대한항공,운수창고업,2016,23956534894000.0,1178.12,7.82,1.62,0.24396119309977843,1.705,B+,C,B+,A,0.0
대한해운,운수창고업,2016,2204457785000.0,252.14,28.4,1.62,0.2350298937970712,0.7949999999999999,B이하,B,B이하,B이하,0.0
대한화섬,화학,2016,483677417000.0,20.81,82.77,-22.7,0.15028793164419044,0.365,B이하,B,B이하,B이하,0.0
대현,섬유의복,2016,249699923000.0,53.57,65.12,7.94,0.03573778701016872,1.0350000000000001,B이하,B,B이하,B이하,2214000.0
대호에이엘,철강금속,2016,87036748000.0,291.45,25.55,-3.24,0.024532249290243613,2.46,B이하,B,B이하,B+,0.0
더존비즈온,서비스업,2016,236494235000.0,54.28,64.82,12.07,0.28673274965325934,5.005,B이하,B,B이하,B이하,8605000.0
덕성,화학,2016,108207616000.0,64.24,60.89,34.92,0.03336359765185388,2.335,B이하,C,B이하,B이하,704000.0
덕양산업,운수장비,2016,410285389000.0,386.71,20.55,9.77,-0.005524421575102961,1.435,B이하,B,B이하,B이하,0.0
도화엔지니어링,서비스업,2016,308513945000.0,36.47,73.28,18.07,0.02989841041085429,0.7749999999999999,B이하,B+,B이하,B이하,5619000.0
동국제강,철강금속,2016,6324651883000.0,176.27,36.2,-12.48,0.19895433479366972,0.31,B이하,C,B+,B+,14004000.0
동남합성,화학,2016,91693522000.0,37.98,72.48,36.25,0.08908619564800245,1.2000000000000002,B이하,C,B이하,B이하,302000.0
동방,운수창고업,2016,588528837000.0,294.77,25.33,-8.69,0.05810751408344052,0.54,B이하,B,B이하,B이하,442000.0
동방아그로,화학,2016,169820452000.0,34.0,74.63,0.01,0.019302220188871434,0.81,B이하,B,B이하,B이하,2901000.0
동성제약,의약품,2016,125386412000.0,125.43,44.36,6.78,-0.04195065290199571,2.185,B이하,C,B이하,B이하,0.0
동아쏘시오홀딩스,서비스업,2016,1402215520000.0,60.1,62.46,3.04,0.55157471992471,1.56,B이하,B,B이하,B이하,6050000.0
동아에스티,의약품,2016,1066616686000.0,81.02,55.24,-3.52,0.0033724918701073395,1.96,B이하,B+,B+,B이하,4220000.0
동아지질,건설업,2016,298869765000.0,100.01,50.0,8.93,0.15984311621950956,0.755,B이하,B,B이하,B이하,2260000.0
동양고속,운수창고업,2016,237926437000.0,88.09,53.17,14.56,0.09494229458002598,0.735,B이하,B,B이하,B이하,1005000.0
동양철관,철강금속,2016,159775025000.0,98.39,50.41,-24.52,0.06584234238570617,1.5499999999999998,B이하,C,B이하,B이하,0.0
동원산업,"농업, 임업 및 어업",2016,1900330097000.0,140.21,41.63,15.93,0.2529903421686747,1.745,B이하,B,B이하,B이하,10090000.0
동원수산,"농업, 임업 및 어업",2016,94209184000.0,180.03,35.71,12.37,0.02498580601235,1.15,B이하,B,B이하,B이하,0.0
동원시스템즈,화학,2016,1308740989000.0,238.58,29.54,6.76,0.27047541761532673,6.705,B이하,C,B이하,B이하,6099000.0
동일고무벨트,화학,2016,276868629000.0,55.7,64.22,-7.83,0.10612020487228314,0.9099999999999999,B이하,C,B이하,B이하,1167000.0
동일산업,철강금속,2016,371393726000.0,13.76,87.9,-1.26,0.07017628852769263,0.51,B이하,B,B이하,B+,2679000.0
동화약품,의약품,2016,324604537000.0,28.34,77.92,6.39,0.10730652584947215,1.09,B이하,B,B+,B이하,3043000.0
두산,서비스업,2016,28664805143000.0,262.81,27.56,-13.45,0.44746988248475184,1.2999999999999998,A,A,A,A,100426000.0
디씨엠,철강금속,2016,181951790000.0,17.8,84.89,21.09,0.12960104407596834,0.965,B이하,B,B이하,B이하,3824000.0
디아이,의료정밀,2016,179576752000.0,56.78,63.78,4.02,0.21977035322916866,1.69,B이하,B,B이하,B이하,1434000.0
디아이씨,운수장비,2016,733802132000.0,260.86,27.71,7.33,0.06452522362336606,1.305,B이하,B,B이하,B이하,1074000.0
디와이,서비스업,2016,722400600000.0,78.77,55.94,12.6,0.6655926203689816,0.77,B이하,B,B이하,B이하,3553000.0
디와이파워,기계,2016,228157938000.0,127.02,44.05,-7.79,0.16234608528451538,0.64,B이하,C,B이하,B이하,1324000.0
락앤락,화학,2016,750896978000.0,11.74,89.49,4.42,0.40590387822880036,1.365,B이하,B+,B이하,B이하,27093000.0
롯데관광개발,서비스업,2016,362245686000.0,118.03,45.86,12.78,0.06722378014582164,3.6500000000000004,B이하,C,B이하,B이하,0.0
롯데손해보험,보험,2016,11097478833000.0,2113.35,4.52,8.14,0.27591994690436805,0.75,A,A+,A,B이하,1331000.0
롯데쇼핑,유통업,2016,41915906500000.0,142.79,41.19,1.37,0.09393045177565777,0.495,B+,C,A,A,59104000.0
롯데정밀화학,화학,2016,1530938498000.0,37.72,72.61,-4.4,0.05893945928328204,0.8500000000000001,B+,B,A,A,7641000.0
롯데케미칼,화학,2016,15866834170000.0,68.78,59.25,12.89,0.3270727175729684,1.225,A,B,A+,A,134768000.0
롯데하이마트,유통업,2016,3004858847000.0,58.51,63.09,1.11,0.06014466490431894,0.65,B+,B+,A,B이하,11804000.0
마니커,음식료품,2016,211971928000.0,117.92,45.89,-16.29,0.02161684874318658,1.06,B이하,D,B이하,B이하,0.0
메리츠금융지주,기타금융,2016,37543724235000.0,841.75,10.62,21.22,-2.509328713610351,1.9300000000000002,B이하,A,B이하,B이하,42150000.0
명문제약,의약품,2016,221075417000.0,133.5,42.83,13.65,0.041411887351851716,1.425,B이하,B,B이하,B이하,1564000.0
모나리자,종이목재,2016,80562144000.0,17.4,85.18,-2.86,0.05295277439124848,2.9349999999999996,B이하,C,B이하,B이하,2742000.0
모나미,유통업,2016,166157077000.0,120.56,45.34,-1.93,0.07550820096857126,1.62,B이하,B,B이하,B이하,1307000.0
모토닉,운수장비,2016,433121255000.0,10.57,90.44,-3.91,0.050939558508593705,0.83,B이하,B,B이하,B이하,5622000.0
무림페이퍼,종이목재,2016,1904532338000.0,221.98,31.06,-2.19,0.4205271423214933,0.41000000000000003,B이하,B,B이하,B+,0.0
무학,음식료품,2016,603740662000.0,22.97,81.32,-8.65,0.20771216568177706,1.8599999999999999,B이하,B,B이하,B이하,9795000.0
문배철강,철강금속,2016,116458628000.0,27.27,78.57,12.77,0.06567671574475291,0.63,B이하,B,B이하,B이하,909000.0
미래산업,의료정밀,2016,84503325000.0,15.61,86.5,-8.76,-0.37582202758922706,3.16,B이하,B+,B이하,B이하,0.0
미래아이앤지,서비스업,2016,52119332000.0,5.84,94.48,7.28,-0.35883215153970827,2.545,B이하,C,B이하,B이하,0.0
미래에셋증권,증권,2016,57267775961000.0,759.13,11.64,54.31,1.2096681157228262,0.435,B+,A,B+,B이하,25941000.0
미원상사,화학,2016,329573660000.0,37.77,72.58,26.02,0.18340835120094437,1.095,B이하,C,B이하,B이하,0.0
미원화학,화학,2016,98229529000.0,11.17,89.95,-4.0,0.08996537551554314,1.81,B이하,C,B이하,B이하,2218000.0
백광산업,화학,2016,280792568000.0,133.04,42.91,4.23,0.255543023488961,0.76,B이하,B,B이하,B+,0.0
백산,화학,2016,186773462000.0,51.78,65.89,16.69,0.12645368263817075,1.5650000000000002,B이하,B,B이하,B이하,2126000.0
범양건영,건설업,2016,121941346000.0,186.41,34.91,66.27,-0.04570972827333181,1.8399999999999999,B이하,C,B이하,B이하,0.0
벽산,비금속광물,2016,458398720000.0,63.56,61.14,0.22,0.13089588854241244,2.18,B이하,C,B이하,B+,2037000.0
보락,화학,2016,53139580000.0,24.3,80.45,14.94,0.1526818169089025,1.6749999999999998,B이하,C,B이하,B이하,839000.0
보해양조,음식료품,2016,218917157000.0,120.21,45.41,-6.68,-0.08711357805664988,1.685,B이하,B,B이하,B이하,0.0
부광약품,의약품,2016,237634086000.0,10.72,90.32,-2.47,-0.054663216375504343,6.290000000000001,B이하,B+,B이하,B이하,21531000.0
부국증권,증권,2016,1433431137000.0,212.75,31.97,6.33,0.1863868751145466,0.555,B이하,B+,B이하,B이하,11921000.0
부국철강,철강금속,2016,121540261000.0,10.35,90.62,-15.36,0.02719684679864455,0.545,B이하,B,B이하,B이하,1500000.0
부산산업,비금속광물,2016,122608820000.0,88.64,53.01,12.46,0.4311299096469712,1.445,B이하,B,B이하,B이하,264000.0
부산주공,운수장비,2016,275967623000.0,478.39,17.29,-6.53,0.09761953126305063,1.645,B이하,B,B이하,B+,0.0
비상교육,서비스업,2016,239728294000.0,23.06,81.26,0.02,0.37402762205092266,1.09,B이하,C,B이하,B이하,4039000.0
빙그레,음식료품,2016,623750932000.0,19.55,83.65,1.7,0.08152701395279428,1.2349999999999999,B이하,B,B+,B이하,11052000.0
사조대림,음식료품,2016,671743822000.0,159.2,38.58,33.35,0.13143322905517912,0.64,B이하,C,B이하,B이하,0.0
사조동아원,음식료품,2016,467516374000.0,550.31,15.38,-16.13,0.1280548836646661,2.295,B이하,C,B이하,B이하,0.0
사조산업,"농업, 임업 및 어업",2016,1010707866000.0,147.91,40.34,-22.43,0.0993353769818638,1.335,B이하,C,B이하,B이하,0.0
사조씨푸드,음식료품,2016,322910322000.0,75.99,56.82,15.16,0.006890651428430072,0.66,B이하,B,B이하,B이하,0.0
사조오양,"농업, 임업 및 어업",2016,292401068000.0,127.91,43.88,43.19,0.09698198169147812,1.04,B이하,C,B이하,B이하,0.0
삼성SDI,전기전자,2016,14900311234000.0,35.9,73.58,-31.29,-0.2960797318749108,0.755,A,B+,A,A,67788000.0
삼성공조,운수장비,2016,252728716000.0,27.17,78.63,-8.36,0.1356532876752594,0.5,B이하,B,B이하,B이하,722000.0
삼성물산,유통업,2016,44458515390000.0,110.65,47.47,110.59,0.06776447990879111,1.5550000000000002,A+,A+,A+,A,90786000.0
삼성에스디에스,서비스업,2016,6842003858000.0,29.31,77.33,4.16,0.15543593780845144,3.6849999999999996,B+,B+,B+,B이하,58013000.0
삼성엔지니어링,서비스업,2016,5509420276000.0,458.36,17.91,8.84,0.03354872803025042,2.58,B+,B+,B+,A,0.0
삼성전기,전기전자,2016,7662629260000.0,76.66,56.61,-2.32,0.1449029694454791,1.075,A+,A+,A+,A+,37916000.0
삼성전자,전기전자,2016,262174324000000.0,35.87,73.6,0.6,0.3537635918103972,1.9,A,B+,A+,A,3850352000.0
삼성제약,의약품,2016,138284747000.0,67.87,59.57,14.37,-0.24530266242258247,2.765,B이하,C,B이하,B이하,0.0
삼성중공업,운수장비,2016,17217462679000.0,174.37,36.45,7.2,-0.15730678725587546,0.455,B+,B,A,A,0.0
삼성증권,증권,2016,33229936021000.0,768.31,11.52,12.38,0.3363486682320138,0.78,A,A+,B+,B이하,49683000.0
삼성출판사,서비스업,2016,176478585000.0,60.72,62.22,12.21,0.24191071882143764,1.9700000000000002,B이하,B,B이하,B이하,1100000.0
삼성카드,기타금융,2016,21904458546000.0,231.1,30.2,5.08,-0.32566484279830143,0.775,B+,A+,B+,B이하,164416000.0
삼아알미늄,철강금속,2016,187571119000.0,78.68,55.97,4.02,0.05452116434859291,0.42500000000000004,B이하,B,B이하,B이하,825000.0
삼양사,음식료품,2016,2063771564000.0,76.99,56.5,38.39,0.11342696164405537,1.1300000000000001,B이하,C,B+,B이하,15040000.0
삼양식품,음식료품,2016,326695948000.0,84.01,54.34,23.54,0.10501151237262231,1.765,B이하,D,B이하,B+,1130000.0
삼양통상,기타제조업,2016,289192371000.0,15.73,86.41,-8.96,0.22952174738240597,0.625,B이하,B,B이하,B이하,2250000.0
삼양홀딩스,서비스업,2016,3169444797000.0,71.26,58.39,6.2,2.1242266588373457,1.0350000000000001,B이하,C,B이하,B이하,15477000.0
삼영무역,유통업,2016,335125436000.0,16.89,85.55,-0.48,0.018066473389935805,1.4849999999999999,B이하,B,B이하,B이하,4501000.0
삼원강재,운수장비,2016,234265074000.0,23.82,80.76,-1.44,0.046857164147407405,0.7649999999999999,B이하,C,B이하,B+,5000000.0
삼익악기,기타제조업,2016,414022232000.0,84.47,54.21,29.81,-0.09453665696684717,1.305,B이하,D,B이하,B이하,3943000.0
삼일제약,의약품,2016,100995489000.0,91.02,52.35,9.78,0.05859289108890298,1.06,B이하,C,B이하,B이하,766000.0
삼정펄프,종이목재,2016,211609843000.0,19.02,84.02,0.0,0.16552353927596752,0.565,B이하,B,B이하,B이하,4125000.0
삼진제약,의약품,2016,227572907000.0,34.11,74.57,10.53,0.20332302047945577,2.605,B이하,B,B이하,B이하,8717000.0
삼천리,전기가스업,2016,3690167118000.0,170.74,36.94,-16.48,0.13833063978768095,0.33499999999999996,B+,B+,B+,B+,8909000.0
삼호개발,건설업,2016,245439371000.0,66.04,60.23,2.84,0.06180767132578438,0.585,B이하,B,B이하,B이하,3250000.0
삼화왕관,기계,2016,162196225000.0,25.87,79.45,4.82,0.14214515256171836,0.8400000000000001,B이하,C,B이하,B이하,1581000.0
삼화전기,전기전자,2016,129464174000.0,262.83,27.56,16.51,0.05226329416174419,1.57,B이하,B,B이하,B이하,331000.0
상신브레이크,운수장비,2016,353061766000.0,126.61,44.13,4.55,0.10750093071560583,1.105,B이하,B,B이하,B이하,3098000.0
새론오토모티브,운수장비,2016,263741756000.0,23.16,81.19,-2.57,0.27808884135881773,0.9199999999999999,B이하,C,B이하,B+,3648000.0
샘표,음식료품,2016,118579705000.0,9.38,91.42,-92.23,1.8216383591219862,2.005,B이하,C,B이하,B이하,300000.0
서연,서비스업,2016,2933486634000.0,173.64,36.54,4.0,13.110445640919446,0.765,B이하,C,B이하,B이하,3256000.0
서연이화,운수장비,2016,1801799813000.0,165.12,37.72,4.96,0.11420885307569803,1.055,B이하,C,B이하,B이하,4053000.0
서원,철강금속,2016,223594647000.0,141.59,41.39,-3.31,0.03228525371392448,1.0899999999999999,B이하,B,B이하,B+,465000.0
서흥,화학,2016,585890727000.0,103.12,49.23,11.92,0.20370161092076758,2.3,B이하,C,B이하,B이하,3818000.0
선도전기,전기전자,2016,146601414000.0,79.88,55.59,-0.05,-0.10264134594710815,1.07,B이하,B,B이하,B이하,357000.0
선진,음식료품,2016,543650885000.0,179.06,35.83,6.95,0.08091820568465372,1.105,B이하,B+,B이하,B이하,814000.0
성문전자,전기전자,2016,44116408000.0,57.38,63.54,-5.79,0.08368786107975297,4.945,B이하,C,B이하,B이하,3000.0
성보화학,화학,2016,194504487000.0,21.15,82.54,3.51,-0.1451338688547197,0.49,B이하,B,B이하,B이하,8809000.0
성신양회,비금속광물,2016,1016264029000.0,219.83,31.27,1.16,0.17149779684459188,0.895,B이하,B,B이하,B+,0.0
성안,섬유의복,2016,256671843000.0,192.88,34.14,-0.6,-0.01241958101389538,0.765,B이하,C,B이하,B이하,0.0
성창기업지주,서비스업,2016,636441018000.0,26.34,79.15,2.29,0.2742397111913357,0.7100000000000001,B이하,C,B이하,B이하,688000.0
세기상사,서비스업,2016,43903385000.0,82.09,54.92,-0.2,-0.1204474935967801,1.46,B이하,B,B이하,B이하,0.0
세방,운수창고업,2016,939792735000.0,25.23,79.86,-2.53,0.04485668207314337,0.69,B+,B+,B+,B이하,4043000.0
세방전지,전기전자,2016,1086480434000.0,31.45,76.07,0.37,0.08282327509796847,0.685,B+,B,B+,B+,4810000.0
세아특수강,철강금속,2016,516822970000.0,68.98,59.18,-1.83,0.11007378840378032,0.62,B이하,B,B이하,B+,6318000.0
세아홀딩스,서비스업,2016,5177866749000.0,77.07,56.47,-0.34,8.853352875824557,0.62,B이하,B,B이하,B이하,6998000.0
세우글로벌,유통업,2016,39207914000.0,22.98,81.32,7.06,-0.008233742711822355,2.4050000000000002,B이하,C,B이하,B이하,0.0
세종공업,운수장비,2016,952518535000.0,138.47,41.93,-3.73,0.18884355822550833,0.715,B이하,C,B이하,B이하,3902000.0
세하,종이목재,2016,172282038000.0,1257.29,7.37,7.71,0.037005967845174896,3.77,B이하,C,B이하,B+,0.0
송원산업,화학,2016,829523000000.0,134.2,42.7,6.1,0.17959113842161822,1.165,B이하,C,B이하,B+,3360000.0
수산중공업,기계,2016,108609516000.0,18.99,84.04,-12.78,0.1807014073513988,1.24,B이하,B,B이하,B이하,514000.0
신대양제지,종이목재,2016,362737227000.0,36.92,73.03,-20.98,-0.008537637923988558,0.365,B이하,C,B이하,B이하,0.0
신도리코,전기전자,2016,932198393000.0,10.82,90.24,1.35,0.1579920352249674,0.645,B이하,B,B이하,B+,14748000.0
