2014_E,2014_S,2014_G,2015_E,2015_S,2015_G,Diff_E,Diff_S,Diff_G
A+,B이하,B이하,A,B이하,B이하,,,
B,B이하,B이하,B,B이하,B이하,,,
B,B이하,B+,C,B이하,B+,,,
B,B+,B+,B,B이하,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
A,A,A,B,B+,A,,,
B,B이하,B이하,C,B이하,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
B,B이하,B이하,C,B이하,B이하,,,
B,B이하,B+,B,B이하,B+,,,
B,B이하,B이하,C,B이하,B이하,,,
B,B이하,B이하,B,B이하,B이하,,,
B,B이하,B이하,B,B이하,B이하,,,
B+,B이하,B이하,A,B이하,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
D,A,A,D,B+,A,,,
C,B이하,B이하,C,B이하,B이하,,,
B+,B이하,B+,B,B이하,A,,,
C,B이하,B이하,C,B이하,B이하,,,
B,B이하,B이하,C,B+,B이하,,,
B,B이하,B+,C,B이하,B+,,,
C,B이하,B이하,C,B이하,B이하,,,
B+,B이하,B이하,B+,B이하,B이하,,,
B,B이하,B+,B,B이하,B+,,,
C,B이하,B이하,C,B이하,B이하,,,
C,B이하,B+,C,B이하,B+,,,
C,B이하,B+,C,B이하,B+,,,
B,B이하,B이하,B,B이하,B+,,,
B,B이하,B이하,B,B이하,B이하,,,
C,B이하,B+,C,B이하,B+,,,
C,B이하,B+,D,B이하,B+,,,
B,B이하,B+,B,B이하,B+,,,
B,B이하,B이하,B+,B이하,B이하,,,
C,B이하,B이하,C,B이하,B+,,,
B+,A,B+,D,B+,A,,,
D,B이하,B이하,C,B이하,B이하,,,
B,B이하,B이하,B,B이하,B+,,,
B+,B이하,B이하,B,B이하,B이하,,,
C,B이하,B+,C,B이하,B+,,,
C,B이하,B이하,B,B이하,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
C,B이하,B이하,B,B이하,B이하,,,
B,B+,B+,C,B+,B+,,,
B,B이하,B이하,B,B이하,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
B+,B이하,B+,C,B이하,B+,,,
C,B이하,B이하,C,B이하,B이하,,,
C,B이하,B이하,B,B이하,B이하,,,
B,B이하,B이하,B,B이하,B이하,,,
B,B이하,B+,B,B+,B+,,,
C,B이하,B이하,B,B이하,B이하,,,
B,B이하,B이하,C,B이하,B이하,,,
B,B이하,B이하,B,B이하,B이하,,,
B,B이하,B이하,B,B이하,B이하,,,
B+,B이하,B이하,B,B이하,B이하,,,
B,B이하,B이하,C,B이하,B이하,,,
B,B이하,B이하,C,B이하,B이하,,,
B,B이하,B이하,B,B이하,B이하,,,
B+,B이하,B이하,A,B+,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
C,B이하,B이하,B,B이하,B이하,,,
B,B이하,B이하,B,B+,B이하,,,
C,B이하,B이하,B,B이하,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
B,B이하,B이하,C,B이하,B이하,,,
B,B이하,B+,B,B이하,B+,,,
C,B이하,B이하,C,B이하,B+,,,
B,B이하,B이하,C,B이하,B이하,,,
A,A,A,A,A,A,,,
B+,A,B+,A,B+,B+,,,
A,A,B+,A,A,B+,,,
A,A+,A,A,A,A,,,
A,A,A,B+,A,A,,,
B,B이하,B이하,C,B이하,B이하,,,
C,B이하,B이하,B,B이하,B이하,,,
B,B이하,B이하,B,B이하,B이하,,,
B,B이하,B이하,B,B이하,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
B,B이하,B이하,B+,B이하,B이하,,,
B+,B이하,B이하,B+,B이하,B이하,,,
B,B이하,B이하,C,B이하,B이하,,,
B+,A,B이하,B+,A,B이하,,,
A,A,A,C,B이하,A,,,
B+,B+,B+,B,B+,B+,,,
B+,B+,A,C,B+,A,,,
B+,B+,B+,B,A,A,,,
B+,A,A+,B,A+,A+,,,
C,B이하,B+,D,B이하,B+,,,
A,B+,B이하,B+,B+,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
B,B이하,B이하,B,B이하,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
B+,B이하,B이하,A,B이하,B이하,,,
B+,B이하,B이하,A+,B이하,B이하,,,
A+,B+,B이하,A,B+,B이하,,,
B,B이하,B이하,B,B이하,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
B,B이하,B이하,C,B이하,B이하,,,
B,B이하,B이하,B,B이하,B이하,,,
C,B이하,B+,C,B이하,B+,,,
C,B이하,B+,B,B이하,B+,,,
B+,B이하,B이하,C,B이하,B이하,,,
C,B이하,B이하,B,B이하,B이하,,,
B,B이하,B이하,B,B이하,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
B+,B+,B+,A+,B이하,B이하,,,
B+,B+,B이하,B+,B+,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
B,B이하,B이하,B,B이하,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
B+,B이하,B이하,B,B이하,B이하,,,
B,B이하,B이하,C,B이하,B이하,,,
B,B이하,B+,B,B이하,B+,,,
C,B이하,B이하,C,B이하,B이하,,,
C,B이하,B이하,B,B이하,B이하,,,
B,B이하,B이하,D,B이하,B이하,,,
B,B이하,B이하,B,B이하,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
B+,B이하,B이하,B,B이하,B이하,,,
B,B이하,B이하,B,B이하,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
B,B+,B이하,B,B+,B이하,,,
B,B이하,B이하,B,B이하,B이하,,,
B,B이하,B+,B+,B이하,B+,,,
B,B이하,B이하,C,B이하,B이하,,,
B,B+,B이하,B,B이하,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
C,B이하,B이하,B,B이하,B이하,,,
C,B이하,B이하,B,B이하,B이하,,,
C,B이하,B이하,B,B이하,B이하,,,
C,B이하,B이하,C,B이하,B이하,,,
B,B이하,B이하,C,B이하,B이하,,,
B,B이하,B이하,B,B이하,B+,,,
B,B이하,B이하,C,B이하,B이하,,,
B+,A,A,B+,A,A+,,,
B,B이하,B이하,B+,B이하,B이하,,,
B,A,A,B,B+,A,,,
B,A,A,D,B이하,B+,,,
A,A+,A,A,A,A+,,,
B+,A,A,B+,A,A,,,
A,A+,A+,A,A,A,,,
A,A+,A,B+,B+,A+,,,
B,B이하,B이하,D,B이하,B이하,,,
B,A,A,B+,B+,B+,,,
A,A,B이하,A+,B+,B이하,,,
B,B이하,B이하,B,B이하,B이하,,,
B+,B+,B이하,A,B이하,B이하,,,
A,A,A,A+,A,A,,,
B,B이하,B이하,B,B이하,B이하,,,
B,B+,B+,C,B+,B+,,,
C,B이하,B이하,C,B이하,B이하,,,
