,종목명,ESG 통합등급,2022_E,2022_S,2022_G,평가연도
17,DB,B,D,B,B+,2022
18,DB금융투자,B,C,B,B,2022
19,DB생명보험,-,-,-,B+,2022
20,DB손해보험,B+,B+,A,B+,2022
21,DB하이텍,B,B,B+,B,2022
22,DGB금융지주,A,A+,A+,A,2022
23,DGB생명보험,-,-,-,B+,2022
24,DL,A,A,A+,A,2022
25,DL건설,A,A,A,B+,2022
26,DL이앤씨,A,A,A,A,2022
27,DRB동일,C,D,B+,B,2022
28,DSR,D,D,C,D,2022
29,DSR제강,C,D,C,B,2022
30,E1,B+,B+,B+,B+,2022
31,F&F 홀딩스,B,B,B+,B,2022
32,GKL,A,B,A,A,2022
33,GS,A,B+,A+,A,2022
34,GS건설,A,A,A,A,2022
35,GS글로벌,B+,C,B+,B+,2022
36,GS리테일,A,B+,A,A,2022
37,HDC,C,D,B,C,2022
38,HDC랩스,D,D,D,D,2022
39,HDC현대EP,C,C,B,C,2022
40,HDC현대산업개발,C,D,C,B,2022
41,HD현대,A,B+,A,A,2022
42,HJ중공업,B,C,B+,B+,2022
43,HL D&I,B+,B+,A,B+,2022
44,HLB,C,C,B,D,2022
45,HLB생명과학,C,D,B,B,2022
46,HL글로벌,D,D,C,D,2022
47,HMM,A,A+,A,B+,2022
48,HSD엔진,B+,B,A,B+,2022
49,JB금융지주,A,A,A+,A,2022
50,JW생명과학,C,C,B+,C,2022
51,JW중외제약,C,B,B+,D,2022
52,JW홀딩스,B+,C,B+,B+,2022
53,JYP Ent.,B,C,A,B,2022
54,KB금융지주,A+,A+,A+,A+,2022
55,KB손해보험,-,-,-,A,2022
56,KB캐피탈,-,-,-,A,2022
57,KCC건설,D,D,D,D,2022
58,KCI,C,B,B+,C,2022
59,KC그린홀딩스,D,D,D,C,2022
60,KC코트렐,D,D,D,C,2022
61,KEC,C,C,D,C,2022
62,KG ETS,D,C,D,D,2022
63,KG모빌리언스,D,D,D,C,2022
64,KG스틸,C,B,B+,D,2022
65,KG이니시스,D,D,C,D,2022
66,KG케미칼,D,D,D,D,2022
67,KH 필룩스,D,D,C,D,2022
68,KH바텍,B+,B,A,B+,2022
69,KISCO홀딩스,C,C,D,C,2022
70,KPX케미칼,D,C,C,D,2022
71,KPX홀딩스,C,D,C,C,2022
72,KR모터스,D,D,D,D,2022
73,KSS해운,B+,B+,A,B+,2022
74,KTcs,A,B+,A,A,2022
75,KTis,B+,B+,B+,B+,2022
76,KT서브마린,C,D,D,B+,2022
77,LF,B,D,B,B+,2022
78,LG,A,B+,A+,A,2022
79,LG디스플레이,A,A,A,B+,2022
80,LG생활건강,A,A,A+,A,2022
81,LG유플러스,A,A,A,A,2022
82,LG이노텍,A,A,A+,A,2022
83,LG전자,A,A,A+,A,2022
84,LG헬로비전,A,B,A,A,2022
85,LG화학,B,C,A,B+,2022
86,LIG넥스원,A,A,A+,A,2022
87,LS,C,B+,A,C,2022
88,LS네트웍스,B,C,B+,B,2022
89,LS전선아시아,C,D,D,B,2022
90,LX세미콘,A,A,A+,B+,2022
91,LX인터내셔널,A,B+,A,A,2022
92,LX하우시스,A,B+,A,A,2022
93,MH에탄올,C,C,D,B,2022
94,NAVER,A,A,A,A,2022
95,NHN한국사이버결제,C,D,B,C,2022
96,NH농협손해보험,-,-,-,A,2022
97,NH투자증권,B+,A,A,B+,2022
98,NICE,B+,C,B+,B+,2022
99,NICE평가정보,B,B,B+,B,2022
100,NI스틸,D,D,D,C,2022
101,OCI,A,B+,A,A,2022
102,POSCO홀딩스,A,A,A,A+,2022
103,RFHIC,C,D,D,B,2022
104,S-Oil,A,B,A+,A+,2022
105,SBS,C,D,D,B+,2022
106,SBS콘텐츠허브,C,D,D,B,2022
107,SFA반도체,D,C,C,D,2022
108,SGC에너지,B+,B+,A,B+,2022
109,SGC이테크건설,B,B,B,B,2022
110,SG글로벌,D,D,D,D,2022
111,SG세계물산,D,D,D,D,2022
112,SHD,D,D,D,C,2022
113,SH에너지화학,C,C,D,B+,2022
114,SIMPAC,D,D,C,D,2022
115,SK,A+,A,A,A+,2022
116,SKC,A,B+,A+,A,2022
117,SK가스,A,A,A+,A,2022
118,SK네트웍스,A,A,A+,B+,2022
119,SK디스커버리,A,A,A+,B+,2022
120,SK디앤디,A,A,A,A,2022
121,SK렌터카,B+,A,A,B+,2022
122,SK바이오사이언스,A,A,A+,A,2022
123,SK바이오팜,A,B+,A,A,2022
124,SK이노베이션,A,B+,A+,A+,2022
125,SK증권,B+,C,B+,B+,2022
126,SK케미칼,A+,A+,A+,A,2022
127,SK텔레콤,A,A+,A+,A,2022
128,SK하이닉스,B+,B+,A,B+,2022
129,SNT모티브,C,C,D,B,2022
130,SNT에너지,C,D,C,C,2022
131,SNT중공업,C,C,C,B,2022
132,SNT홀딩스,C,C,C,B,2022
133,SPC삼립,B,C,B+,B,2022
134,STX,C,D,C,C,2022
135,STX엔진,C,D,B,D,2022
136,STX중공업,C,D,B,B,2022
137,SUN&L,C,D,C,B,2022
138,TCC스틸,C,C,C,C,2022
139,TYM,B+,B,B+,B+,2022
140,WISCOM,C,D,D,B,2022
141,YG PLUS,D,D,D,D,2022
142,가온전선,B,C,B+,B+,2022
143,강남제비스코,C,C,B,B,2022
144,강원랜드,A,B+,A+,A,2022
145,갤럭시아에스엠,D,D,D,D,2022
146,경남은행,-,-,-,A,2022
147,경농,C,C,D,B,2022
148,경동나비엔,C,C,B,D,2022
149,경동도시가스,B,C,B+,B,2022
150,경동인베스트,C,C,B+,C,2022
151,경방,D,C,D,D,2022
152,경보제약,B+,B,A,B+,2022
153,경인양행,C,B,B+,D,2022
154,경인전자,D,D,D,D,2022
155,계룡건설산업,C,B,B,C,2022
156,계양전기,C,C,B,D,2022
157,고려산업,D,D,D,D,2022
158,고려아연,B,B+,A,C,2022
159,고려제강,D,C,C,D,2022
160,고영,B,C,B+,B,2022
161,골프존,B+,B+,A,B,2022
162,광동제약,C,D,B,B,2022
163,광명전기,D,D,C,D,2022
164,광전자,D,D,D,C,2022
165,광주신세계,B+,B+,A,B+,2022
166,광주은행,-,-,-,B+,2022
167,교보생명보험,-,-,-,B+,2022
168,교보증권,B+,B+,B+,B+,2022
169,교촌에프앤비,C,D,C,B,2022
170,국도화학,D,C,D,D,2022
171,국동,D,D,C,D,2022
172,국민은행,-,-,-,A,2022
173,국보,D,D,D,D,2022
174,국일제지,C,C,C,B,2022
175,국제약품,C,D,C,B,2022
176,그린케미칼,D,D,D,D,2022
177,극동유화,D,D,C,D,2022
178,금강공업,C,D,D,B,2022
179,금비,D,D,D,D,2022
180,금양,D,D,D,C,2022
181,금호건설,C,C,B+,D,2022
182,금호석유화학,A,B+,A,A,2022
183,금호에이치티,D,D,D,D,2022
184,금호전기,D,D,C,D,2022
185,금호타이어,B+,B,A,B,2022
186,기신정기,D,D,D,D,2022
187,기아,B+,A,A,B,2022
188,기업은행,A,A+,A+,B+,2022
189,까뮤이앤씨,C,D,D,B,2022
190,깨끗한나라,C,C,B,C,2022
191,나노스,D,D,D,D,2022
192,나노엔텍,D,D,D,D,2022
193,나스미디어,B+,B,B,B+,2022
194,나우IB,D,D,D,C,2022
195,남광토건,C,D,D,B,2022
196,남선알미늄,D,D,D,C,2022
197,남성,D,D,D,D,2022
198,남양유업,C,B,B+,D,2022
199,남해화학,C,C,C,C,2022
200,네오위즈,C,D,C,B,2022
201,네이처셀,D,D,D,D,2022
202,네패스,C,C,B+,D,2022
203,넥센,B+,B+,A,B,2022
204,넥센타이어,B+,B+,A,B,2022
205,넵튠,C,D,C,C,2022
206,넷마블,B,C,B+,B,2022
207,노루페인트,A,B+,A+,B+,2022
208,노루홀딩스,A,B+,A+,B+,2022
209,녹십자,B+,B,A,B,2022
210,녹십자홀딩스,B+,B,A,B+,2022
211,농심,C,B,A,D,2022
212,농심홀딩스,C,B,B+,C,2022
213,농우바이오,D,D,D,D,2022
214,농협금융지주,-,-,-,A,2022
215,농협생명보험,-,-,-,A,2022
216,농협은행,-,-,-,A,2022
217,다나와,C,D,C,B,2022
218,다날,D,D,C,D,2022
219,다스코,D,D,D,C,2022
220,다올투자증권,B+,B,B,B+,2022
221,다우기술,C,B+,A,C,2022
222,다우데이타,C,D,C,C,2022
223,다원시스,D,D,C,D,2022
224,다이나믹디자인,D,D,D,C,2022
225,대교,B,D,B+,B+,2022
226,대구백화점,C,D,D,B+,2022
227,대구은행,-,-,-,B+,2022
228,대덕,B+,B,A,B,2022
229,대덕전자,B+,B,A,B+,2022
230,대동,D,C,C,D,2022
231,대동전자,C,D,D,B,2022
232,대림비앤코,D,D,D,C,2022
233,대림통상,D,D,D,D,2022
234,대상,B+,A,A+,B,2022
235,대상홀딩스,B+,A,A+,B,2022
236,대성산업,D,D,C,D,2022
237,대성에너지,C,D,B,C,2022
238,대성홀딩스,C,D,B,C,2022
239,대신증권,B+,B,B+,B+,2022
240,대아티아이,C,D,D,B,2022
241,대양금속,D,D,D,D,2022
242,대영포장,D,D,D,D,2022
243,대우건설,B+,B+,B+,B+,2022
244,대우부품,D,D,D,D,2022
245,대우조선해양,B+,B,B+,B+,2022
246,대웅,B+,B,A,B,2022
247,대웅제약,B+,B,A,B,2022
248,대원강업,C,C,D,C,2022
249,대원전선,D,D,D,D,2022
250,대원제약,B,D,B,B+,2022
251,대원화성,D,C,C,D,2022
252,대유에이텍,D,D,C,D,2022
253,대유플러스,D,D,D,D,2022
254,대주전자재료,D,D,C,C,2022
255,대창,D,D,C,D,2022
256,대창단조,C,C,C,C,2022
257,대한방직,C,D,D,B,2022
258,대한유화,C,B,B,D,2022
259,대한전선,A,B+,A+,B+,2022
260,대한제강,D,D,D,C,2022
261,대한제당,D,D,D,C,2022
262,대한제분,D,C,D,D,2022
263,대한항공,A,A,A,A,2022
264,대한해운,C,C,B+,C,2022
265,대한화섬,C,C,C,B,2022
266,대현,C,D,D,B+,2022
267,대호에이엘,D,C,D,D,2022
268,더블유게임즈,B,D,C,B+,2022
269,더존비즈온,D,D,C,D,2022
270,덕산네오룩스,D,D,C,C,2022
271,덕성,D,D,C,C,2022
272,덕양산업,D,D,C,D,2022
273,데브시스터즈,B,D,B,B+,2022
274,덴티움,D,D,C,D,2022
275,도화엔지니어링,C,D,C,C,2022
276,동국제강,B,B+,B,B,2022
277,동국제약,C,D,B,C,2022
278,동남합성,C,D,D,B,2022
279,동방,D,C,C,D,2022
280,동방아그로,D,D,D,C,2022
281,동부건설,C,C,B+,C,2022
282,동서,D,C,C,D,2022
283,동성제약,C,D,D,B,2022
284,동성케미컬,B+,B+,A,B,2022
285,동아쏘시오홀딩스,A,B,A,A,2022
286,동아에스티,A,B,A,A,2022
287,동아지질,D,D,D,D,2022
288,동아타이어,D,D,D,C,2022
289,동양,D,D,D,C,2022
290,동양고속,D,D,D,D,2022
291,동양생명,B,D,B,B+,2022
292,동양철관,D,D,D,D,2022
293,동양피스톤,C,D,B,D,2022
294,동원F&B,B,B,A,C,2022
295,동원개발,D,D,C,C,2022
296,동원금속,D,D,D,C,2022
297,동원산업,C,B,B+,C,2022
298,동원수산,D,D,D,D,2022
299,동원시스템즈,C,B,B+,D,2022
300,동일고무벨트,B,C,B+,B,2022
301,동일산업,C,C,D,B+,2022
302,동일제강,D,D,D,C,2022
303,동진쎄미켐,C,C,B+,D,2022
304,동화기업,D,C,C,D,2022
305,동화약품,C,C,B+,C,2022
306,두산,B+,B+,A,B,2022
307,두산밥캣,B+,B,A,B+,2022
308,두산에너빌리티,B,B+,A,C,2022
309,두산퓨얼셀,B+,B+,A+,B,2022
310,두올,D,D,C,C,2022
311,드림어스컴퍼니,C,D,C,B,2022
312,드림텍,D,D,D,C,2022
313,디씨엠,C,D,C,B,2022
314,디아이,D,D,C,D,2022
315,디아이동일,D,D,C,C,2022
316,디아이씨,D,D,C,D,2022
317,디와이,C,D,D,B+,2022
318,디와이파워,C,D,D,B,2022
319,디티알오토모티브,C,C,D,B,2022
320,라이나생명보험,-,-,-,B,2022
321,락앤락,B,B,B+,B,2022
322,레고켐바이오,C,D,C,B,2022
323,로보스타,C,D,C,C,2022
324,롯데관광개발,D,D,C,D,2022
325,롯데손해보험,B+,B,B+,B+,2022
326,롯데쇼핑,A,A,A+,A,2022
327,롯데정밀화학,A,A,A+,A,2022
328,롯데정보통신,A,A,A,A,2022
329,롯데제과,A,B,A,A,2022
330,롯데지주,A,A,A+,B+,2022
331,롯데칠성음료,B+,A,A,B,2022
332,롯데카드,-,-,-,B+,2022
333,롯데캐피탈,-,-,-,B,2022
334,롯데케미칼,A,B+,A+,A,2022
335,롯데하이마트,A,A,A+,A,2022
